company_name,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
银轮股份,002126.SZ,20210705,10.07,10.15,10.03,10.09,10.07,0.02,0.1986,76314.7,76976.276
银轮股份,002126.SZ,20210706,10.07,10.14,9.91,10.14,10.09,0.05,0.4955,95380.37,96046.994
银轮股份,002126.SZ,20210707,10.1,10.16,10.01,10.14,10.14,0,0,139519.44,140785.821
银轮股份,002126.SZ,20210708,10.18,10.33,10.05,10.07,10.14,-0.07,-0.6903,114093.63,115822.497
银轮股份,002126.SZ,20210709,10.03,10.17,9.95,10.1,10.07,0.03,0.2979,159684.82,160952.011
银轮股份,002126.SZ,20210712,10.12,10.44,10.07,10.36,10.1,0.26,2.5743,258701.4,266768.949
银轮股份,002126.SZ,20210713,10.38,10.45,10.08,10.17,10.36,-0.19,-1.834,195810.92,199265.597
银轮股份,002126.SZ,20210714,10.17,11.18,10.11,10.93,10.17,0.76,7.473,610370.26,656287.563
银轮股份,002126.SZ,20210715,10.85,10.89,10.58,10.65,10.93,-0.28,-2.5618,269062.47,287759.411
银轮股份,002126.SZ,20210716,10.63,10.8,10.47,10.59,10.65,-0.06,-0.5634,202592.21,214434.788
银轮股份,002126.SZ,20210719,10.86,11.53,10.65,11.32,10.59,0.73,6.8933,456608.42,510986.293
银轮股份,002126.SZ,20210720,11.21,11.5,11.1,11.42,11.32,0.1,0.8834,299818.07,339781.752
银轮股份,002126.SZ,20210721,11.34,11.94,11.25,11.58,11.42,0.16,1.4011,340260.41,393346.167
银轮股份,002126.SZ,20210722,11.59,12.58,11.59,12.25,11.58,0.67,5.7858,440029.24,531962.248
银轮股份,002126.SZ,20210723,12.15,12.87,12.03,12.8,12.25,0.55,4.4898,503706.42,629216.472
银轮股份,002126.SZ,20210726,12.64,13.17,12.26,12.43,12.8,-0.37,-2.8906,389190.65,494310.923
银轮股份,002126.SZ,20210727,12.5,12.95,12.28,12.37,12.43,-0.06,-0.4827,323284.22,408985.863
银轮股份,002126.SZ,20210728,12.16,12.35,11.13,11.55,12.37,-0.82,-6.6289,310600.39,361684.936
银轮股份,002126.SZ,20210729,11.87,12.19,11.66,11.75,11.55,0.2,1.7316,225673.37,267767.469
银轮股份,002126.SZ,20210730,11.75,12.57,11.6,12.27,11.75,0.52,4.4255,294857.11,358875.504
银轮股份,002126.SZ,20210802,12.12,12.45,11.9,12.32,12.27,0.05,0.4075,304929.75,373566.888
银轮股份,002126.SZ,20210803,12.26,12.38,11.4,11.63,12.32,-0.69,-5.6006,279585.9,331343.944
银轮股份,002126.SZ,20210804,11.51,12.09,11.5,12.06,11.63,0.43,3.6973,230108.53,272132.124
银轮股份,002126.SZ,20210805,11.94,11.94,11.2,11.42,12.06,-0.64,-5.3068,282126.61,323174.563
银轮股份,002126.SZ,20210806,11.46,11.68,11.2,11.35,11.42,-0.07,-0.613,288094.02,326923.245
银轮股份,002126.SZ,20210809,11.24,11.44,10.94,11.19,11.35,-0.16,-1.4097,248071.69,276995.834
银轮股份,002126.SZ,20210810,11.3,11.58,11.08,11.29,11.19,0.1,0.8937,241722.82,272707.044
银轮股份,002126.SZ,20210811,11.11,11.71,11.05,11.54,11.29,0.25,2.2143,274413.81,313763.56
银轮股份,002126.SZ,20210812,11.41,11.93,11.37,11.81,11.54,0.27,2.3397,239758.94,280028.994
银轮股份,002126.SZ,20210813,11.81,12.06,11.55,11.86,11.81,0.05,0.4234,231390.99,273172.546
银轮股份,002126.SZ,20210816,11.91,11.98,11.4,11.59,11.86,-0.27,-2.2766,224302.75,261664.601
银轮股份,002126.SZ,20210817,11.6,11.79,10.95,11.01,11.59,-0.58,-5.0043,286394.08,320807.113
银轮股份,002126.SZ,20210818,11.11,11.2,10.97,11.07,11.01,0.06,0.545,110419.97,122220.434
银轮股份,002126.SZ,20210819,11.05,11.23,10.97,11.08,11.07,0.01,0.0903,132454.19,146916.379
银轮股份,002126.SZ,20210820,11.14,11.19,10.82,11.09,11.08,0.01,0.0903,141802.54,156440.075
银轮股份,002126.SZ,20210823,11.1,11.46,11.04,11.37,11.09,0.28,2.5248,166982.4,187709.97
银轮股份,002126.SZ,20210824,11.37,11.49,11.09,11.2,11.37,-0.17,-1.4952,160338.39,180885.645
银轮股份,002126.SZ,20210825,11.21,11.3,10.96,11.1,11.2,-0.1,-0.8929,193853.15,214327.341
银轮股份,002126.SZ,20210826,11.08,11.22,10.9,11,11.1,-0.1,-0.9009,153116,168775.558
银轮股份,002126.SZ,20210827,10.98,11.09,10.75,10.8,11,-0.2,-1.8182,136260.82,147803.582
银轮股份,002126.SZ,20210830,10.63,11.28,10.61,11.18,10.8,0.38,3.5185,242629.53,268999.151
银轮股份,002126.SZ,20210831,11.19,11.24,10.93,11.1,11.18,-0.08,-0.7156,137808.59,152646.679
银轮股份,002126.SZ,20210901,11.05,11.12,10.74,11.08,11.1,-0.02,-0.1802,135430,148240.998
银轮股份,002126.SZ,20210902,11.06,11.12,10.92,11.01,11.08,-0.07,-0.6318,107549.55,118220.13
银轮股份,002126.SZ,20210903,11.1,11.29,10.97,11.2,11.01,0.19,1.7257,154394.2,171960.57
银轮股份,002126.SZ,20210906,11.14,11.33,10.96,11.31,11.2,0.11,0.9821,170305.54,190256.559
银轮股份,002126.SZ,20210907,11.3,11.68,11.24,11.49,11.31,0.18,1.5915,224961.03,259152.438
银轮股份,002126.SZ,20210908,11.6,11.6,11.2,11.43,11.49,-0.06,-0.5222,148474.99,168983.381
银轮股份,002126.SZ,20210909,11.37,11.79,11.3,11.71,11.43,0.28,2.4497,254054.5,295198.155
银轮股份,002126.SZ,20210910,11.74,11.83,11.45,11.71,11.71,0,0,175423.1,204267.484
银轮股份,002126.SZ,20210913,11.6,11.76,11.36,11.5,11.71,-0.21,-1.7933,183861.47,212063.828
银轮股份,002126.SZ,20210914,11.45,11.6,11,11.1,11.5,-0.4,-3.4783,228696.29,257522.14
银轮股份,002126.SZ,20210915,11.05,11.1,10.81,10.97,11.1,-0.13,-1.1712,135728,148543.075
银轮股份,002126.SZ,20210916,10.97,11.06,10.74,10.74,10.97,-0.23,-2.0966,121427,132095.651
银轮股份,002126.SZ,20210917,10.76,10.9,10.45,10.68,10.74,-0.06,-0.5587,103189.12,110471.634
银轮股份,002126.SZ,20210922,10.6,10.75,10.51,10.71,10.68,0.03,0.2809,63204.23,67057.142
银轮股份,002126.SZ,20210923,10.8,11,10.73,10.85,10.71,0.14,1.3072,62102.05,67367.333
银轮股份,002126.SZ,20210924,10.82,11.06,10.72,10.95,10.85,0.1,0.9217,91632,100169.612
银轮股份,002126.SZ,20210927,10.83,10.99,10.38,10.67,10.95,-0.28,-2.5571,133277.52,141705.098
银轮股份,002126.SZ,20210928,10.6,10.67,10.35,10.5,10.67,-0.17,-1.5933,81384.1,85139.25
银轮股份,002126.SZ,20210929,10.4,10.45,10.11,10.14,10.5,-0.36,-3.4286,81516.2,83188.284
银轮股份,002126.SZ,20210930,10.3,10.3,10.16,10.18,10.14,0.04,0.3945,48745.66,49873.097
银轮股份,002126.SZ,20211008,10.26,10.33,10.01,10.2,10.18,0.02,0.1965,107912.17,109661.106
银轮股份,002126.SZ,20211011,10.16,10.32,10.08,10.23,10.2,0.03,0.2941,80791.05,82263.004
银轮股份,002126.SZ,20211012,10.13,10.24,9.95,9.98,10.23,-0.25,-2.4438,126543.22,126929.098
银轮股份,002126.SZ,20211013,9.96,10.14,9.92,10.02,9.98,0.04,0.4008,85220.06,85606.792
银轮股份,002126.SZ,20211014,10.12,10.4,10.01,10.35,10.02,0.33,3.2934,115703.05,118421.228
银轮股份,002126.SZ,20211015,10.34,10.52,10.3,10.37,10.35,0.02,0.1932,91803.65,95743.675
银轮股份,002126.SZ,20211018,10.38,10.51,10.3,10.41,10.37,0.04,0.3857,60522,63020.969
银轮股份,002126.SZ,20211019,10.4,10.46,10.31,10.35,10.41,-0.06,-0.5764,76572.2,79636.641
银轮股份,002126.SZ,20211020,10.36,10.4,10.24,10.35,10.35,0,0,57397.5,59199.386
银轮股份,002126.SZ,20211021,10.35,10.39,10.19,10.26,10.35,-0.09,-0.8696,67003,68869.544
银轮股份,002126.SZ,20211022,10.28,10.35,10.14,10.26,10.26,0,0,58155.14,59708.713
银轮股份,002126.SZ,20211025,10.19,10.64,10.09,10.59,10.26,0.33,3.2164,90427,94369.513
银轮股份,002126.SZ,20211026,10.71,11.12,10.62,10.92,10.59,0.33,3.1161,201262.33,220605.309
银轮股份,002126.SZ,20211027,10.84,11,10.66,10.94,10.92,0.02,0.1832,111707.79,120900.806
银轮股份,002126.SZ,20211028,10.6,11.32,10.56,11.1,10.94,0.16,1.4625,265054.47,294247.725
银轮股份,002126.SZ,20211029,11.19,11.84,11.04,11.65,11.1,0.55,4.955,274358.74,314551.852
银轮股份,002126.SZ,20211101,11.68,12.29,11.65,12.22,11.65,0.57,4.8927,328711.76,397823.018
银轮股份,002126.SZ,20211102,12.2,12.58,11.95,12,12.22,-0.22,-1.8003,331164.29,404800.656
银轮股份,002126.SZ,20211103,12.07,12.21,11.77,11.95,12,-0.05,-0.4167,171713.95,204801.107
银轮股份,002126.SZ,20211104,11.95,12.15,11.85,12,11.95,0.05,0.4184,153632.6,184008.238
银轮股份,002126.SZ,20211105,11.97,12.96,11.95,12.78,12,0.78,6.5,341805.06,431688.499
银轮股份,002126.SZ,20211108,12.7,12.99,12.53,12.7,12.78,-0.08,-0.626,153239.06,194872.088
银轮股份,002126.SZ,20211109,12.56,12.85,12.39,12.76,12.7,0.06,0.4724,159535.95,201739.982
银轮股份,002126.SZ,20211110,12.67,13.55,12.59,13.29,12.76,0.53,4.1536,282906.66,374440.056
银轮股份,002126.SZ,20211111,13.11,13.69,13.11,13.4,13.29,0.11,0.8277,194298.74,260391.467
银轮股份,002126.SZ,20211112,13.33,14.07,13.22,13.95,13.4,0.55,4.1045,252190.49,346938.983
银轮股份,002126.SZ,20211115,13.95,14.32,13.5,13.62,13.95,-0.33,-2.3656,167530.28,232441.778
银轮股份,002126.SZ,20211116,13.55,13.79,13.18,13.29,13.62,-0.33,-2.4229,213993.5,286450.534
银轮股份,002126.SZ,20211117,13.39,13.61,13.08,13.52,13.29,0.23,1.7306,166362.79,223802.072
银轮股份,002126.SZ,20211118,13.5,13.57,12.95,13.1,13.52,-0.42,-3.1065,213527.99,279999.165
银轮股份,002126.SZ,20211119,13.14,13.28,13,13.07,13.1,-0.03,-0.229,107644.72,141205.303
银轮股份,002126.SZ,20211122,13.1,13.59,13,13.47,13.07,0.4,3.0604,142801.45,190444.414
银轮股份,002126.SZ,20211123,13.37,13.99,13.25,13.31,13.47,-0.16,-1.1878,199419.26,270809.244
银轮股份,002126.SZ,20211124,13.39,13.39,12.88,12.99,13.31,-0.32,-2.4042,166444.06,217596.32
银轮股份,002126.SZ,20211125,13,13.35,13,13.04,12.99,0.05,0.3849,101846.49,133861.248
银轮股份,002126.SZ,20211126,13,13.21,12.68,12.8,13.04,-0.24,-1.8405,99496.61,127829.129
银轮股份,002126.SZ,20211129,12.57,14,12.4,13.78,12.8,0.98,7.6563,206471.92,278050.292
银轮股份,002126.SZ,20211130,13.87,14.04,13.52,13.76,13.78,-0.02,-0.1451,164861.12,228321.275
银轮股份,002126.SZ,20211201,13.76,13.9,13.31,13.69,13.76,-0.07,-0.5087,127405.98,172886.927
银轮股份,002126.SZ,20211202,13.51,14.41,13.49,13.91,13.69,0.22,1.607,204655.93,287726.093
银轮股份,002126.SZ,20211203,13.91,14.01,13.48,13.52,13.91,-0.39,-2.8037,136324.52,185939.924
银轮股份,002126.SZ,20211206,13.47,13.78,13.22,13.3,13.52,-0.22,-1.6272,132076.69,177732.349
银轮股份,002126.SZ,20211207,13.37,13.42,12.77,13.02,13.3,-0.28,-2.1053,123852.71,161392.983
银轮股份,002126.SZ,20211208,13.02,14.12,12.92,13.91,13.02,0.89,6.8356,171528.82,234608.579
银轮股份,002126.SZ,20211209,14.06,14.14,12.83,13.25,13.91,-0.66,-4.7448,220899.81,292544.904
银轮股份,002126.SZ,20211210,13.14,13.89,12.94,13.25,13.25,0,0,171379.23,229252.214
银轮股份,002126.SZ,20211213,13.2,13.38,12.88,13.27,13.25,0.02,0.1509,154028.45,202616.994
银轮股份,002126.SZ,20211214,13.27,13.34,12.91,13.05,13.27,-0.22,-1.6579,98662.17,129521.207
银轮股份,002126.SZ,20211215,12.95,13.06,12.65,12.67,13.05,-0.38,-2.9119,121452.33,155463.599
银轮股份,002126.SZ,20211216,12.68,12.76,12.49,12.59,12.67,-0.08,-0.6314,92718.65,116635.787
银轮股份,002126.SZ,20211217,12.5,12.63,12.24,12.27,12.59,-0.32,-2.5417,86973.16,107652.574
银轮股份,002126.SZ,20211220,12.27,12.35,11.95,12.06,12.27,-0.21,-1.7115,131136.39,158964.901
银轮股份,002126.SZ,20211221,12.04,12.64,12.01,12.53,12.06,0.47,3.8972,162921.05,202524.046
银轮股份,002126.SZ,20211222,12.6,12.83,12.22,12.44,12.53,-0.09,-0.7183,146932.52,183729.577
银轮股份,002126.SZ,20211223,12.46,12.95,12.33,12.59,12.44,0.15,1.2058,130617.99,165565.558
银轮股份,002126.SZ,20211224,12.58,12.77,12.16,12.23,12.59,-0.36,-2.8594,90027.39,111504.812
银轮股份,002126.SZ,20211227,12.15,12.55,12,12.1,12.23,-0.13,-1.063,150916.09,185465.15
银轮股份,002126.SZ,20211228,12.17,12.28,12.01,12.21,12.1,0.11,0.9091,72261.21,87956.056
银轮股份,002126.SZ,20211229,12.21,12.28,11.83,11.97,12.21,-0.24,-1.9656,112357.84,134534.429
银轮股份,002126.SZ,20211230,11.92,12.24,11.85,12.13,11.97,0.16,1.3367,76534.04,92364.409
银轮股份,002126.SZ,20211231,12.05,12.66,12.05,12.56,12.13,0.43,3.5449,118185.02,147120.972
银轮股份,002126.SZ,20220104,12.66,12.66,12.27,12.53,12.56,-0.03,-0.2389,88947.07,110976.295
银轮股份,002126.SZ,20220105,12.5,12.52,12.04,12.23,12.53,-0.3,-2.3943,112441.29,137398.448
银轮股份,002126.SZ,20220106,12.22,12.72,11.97,12.71,12.23,0.48,3.9248,148365.09,183513.159
银轮股份,002126.SZ,20220107,12.64,12.68,12.24,12.29,12.71,-0.42,-3.3045,145416.01,180614.488
银轮股份,002126.SZ,20220110,12.22,13.08,12.04,12.78,12.29,0.49,3.987,159952.56,202954.742
银轮股份,002126.SZ,20220111,12.78,12.8,12.43,12.54,12.78,-0.24,-1.8779,97746.04,122836.866
银轮股份,002126.SZ,20220112,12.48,12.66,12.35,12.6,12.54,0.06,0.4785,79495.47,99609.085
银轮股份,002126.SZ,20220113,12.59,13.22,12.41,12.77,12.6,0.17,1.3492,125989.32,162211.832
银轮股份,002126.SZ,20220114,12.83,13.19,12.6,13.09,12.77,0.32,2.5059,137814.05,179770.256
银轮股份,002126.SZ,20220117,13.1,13.5,12.96,13.24,13.09,0.15,1.1459,139647.7,184401.182
银轮股份,002126.SZ,20220118,13.24,13.59,12.81,12.92,13.24,-0.32,-2.4169,150216.88,198361.263
银轮股份,002126.SZ,20220119,12.94,12.97,12.55,12.65,12.92,-0.27,-2.0898,81504,103554.914
银轮股份,002126.SZ,20220120,12.59,12.66,12.11,12.12,12.65,-0.53,-4.1897,94602.02,116723.678
银轮股份,002126.SZ,20220121,12.17,12.41,11.91,12.05,12.12,-0.07,-0.5776,98397.25,119210.072
银轮股份,002126.SZ,20220124,12.05,12.1,11.48,11.5,12.05,-0.55,-4.5643,208241.91,243367.73
银轮股份,002126.SZ,20220125,11.57,11.69,10.62,10.69,11.5,-0.81,-7.0435,241705.31,264432.127
银轮股份,002126.SZ,20220126,10.75,10.96,10.62,10.87,10.69,0.18,1.6838,137192.73,148507.555
银轮股份,002126.SZ,20220127,10.91,11,10.66,10.67,10.87,-0.2,-1.8399,90864,98119.44
银轮股份,002126.SZ,20220128,10.8,10.83,10.2,10.44,10.67,-0.23,-2.1556,187462.4,196672.405
银轮股份,002126.SZ,20220207,10.7,10.71,10.42,10.44,10.44,0,0,126652,133039.465
银轮股份,002126.SZ,20220208,10.44,10.54,10.11,10.29,10.44,-0.15,-1.4368,223573.96,229436.998
银轮股份,002126.SZ,20220209,10.4,10.78,10.27,10.69,10.29,0.4,3.8873,179451.6,188701.35
银轮股份,002126.SZ,20220210,10.68,10.68,10.32,10.37,10.69,-0.32,-2.9935,128746.4,133936.08
银轮股份,002126.SZ,20220211,10.36,10.44,10.17,10.22,10.37,-0.15,-1.4465,108694.82,111622.088
银轮股份,002126.SZ,20220214,10.18,10.3,10.05,10.11,10.22,-0.11,-1.0763,93797.24,95386.112
