company_name,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
华域汽车,600741.SH,20210705,25.37,25.46,24.06,24.3,25.36,-1.06,-4.1798,214700.98,525379.21
华域汽车,600741.SH,20210706,24.26,25.09,24.16,24.48,24.3,0.18,0.7407,202587.95,498378.495
华域汽车,600741.SH,20210707,24.23,24.47,24.02,24.23,24.48,-0.25,-1.0212,203342.88,492703.954
华域汽车,600741.SH,20210708,24.26,24.54,24.1,24.26,24.23,0.03,0.1238,164690.58,399906.77
华域汽车,600741.SH,20210709,24.2,24.2,23.51,23.7,24.26,-0.56,-2.3083,260620.52,618704.468
华域汽车,600741.SH,20210712,23.9,24.46,23.67,24.19,23.7,0.49,2.0675,198190.31,478432.844
华域汽车,600741.SH,20210713,24.2,24.55,23.98,24.26,24.19,0.07,0.2894,152011.57,368400.882
华域汽车,600741.SH,20210714,24.2,24.2,23.6,23.81,24.26,-0.45,-1.8549,156680.87,372555.594
华域汽车,600741.SH,20210715,23.7,23.73,22,22.59,23.81,-1.22,-5.1239,507144.4,1139833.015
华域汽车,600741.SH,20210716,22.3,22.88,22.26,22.65,22.59,0.06,0.2656,160412.78,364169.93
华域汽车,600741.SH,20210719,22.5,22.8,22.04,22.79,22.65,0.14,0.6181,180675.44,404890.58
华域汽车,600741.SH,20210720,22.8,22.8,22.12,22.31,22.79,-0.48,-2.1062,127671.53,285449.914
华域汽车,600741.SH,20210721,22.26,22.59,22.25,22.31,22.31,0,0,125443.67,280826.223
华域汽车,600741.SH,20210722,22.41,22.48,22.13,22.19,22.31,-0.12,-0.5379,184984,411756.543
华域汽车,600741.SH,20210723,22.4,22.4,21.71,21.85,22.19,-0.34,-1.5322,203371.57,445508.379
华域汽车,600741.SH,20210726,21.86,21.89,20.9,21.1,21.85,-0.75,-3.4325,173259.09,368108.302
华域汽车,600741.SH,20210727,21.34,21.34,20.36,20.69,21.1,-0.41,-1.9431,182024.6,379817.14
华域汽车,600741.SH,20210728,20.41,20.68,19.83,19.95,20.69,-0.74,-3.5766,218536.73,437179.604
华域汽车,600741.SH,20210729,20.2,20.28,19.7,19.86,19.95,-0.09,-0.4511,238613.61,474920.68
华域汽车,600741.SH,20210730,19.27,19.61,18.85,19.31,19.11,0.2,1.0466,179688.98,346063.475
华域汽车,600741.SH,20210802,19.47,20.87,19.31,20.87,19.31,1.56,8.0787,284914.08,578382.356
华域汽车,600741.SH,20210803,20.87,21.36,20.5,21.11,20.87,0.24,1.15,269934.33,567441.806
华域汽车,600741.SH,20210804,21.19,21.68,21.05,21.57,21.11,0.46,2.1791,182066.78,390904.614
华域汽车,600741.SH,20210805,21.57,22.25,21.48,21.71,21.57,0.14,0.649,225389.76,490994.522
华域汽车,600741.SH,20210806,21.71,21.97,21.35,21.8,21.71,0.09,0.4146,165138.9,357683.681
