company_name,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
拓普集团,601689.SH,20210705,34.99,35.76,32.75,33.1,34.69,-1.59,-4.5835,247574.47,829208.582
拓普集团,601689.SH,20210706,33.5,33.65,31.24,31.92,33.1,-1.18,-3.565,299195.13,959373.975
拓普集团,601689.SH,20210707,32.04,32.38,31.3,32.13,31.92,0.21,0.6579,191848.89,612113.499
拓普集团,601689.SH,20210708,32.2,34.86,32.01,34.13,32.13,2,6.2247,343554.5,1148464.454
拓普集团,601689.SH,20210709,34,36.85,33.79,36.2,34.13,2.07,6.065,326855.56,1164485.698
拓普集团,601689.SH,20210712,36,36.58,34.98,35.33,36.2,-0.87,-2.4033,303853.03,1086182.944
拓普集团,601689.SH,20210713,35,35.09,32.1,33.4,35.33,-1.93,-5.4628,363205.7,1203185.126
拓普集团,601689.SH,20210714,32.81,33.58,32.3,32.82,33.4,-0.58,-1.7365,165929.25,546883.624
拓普集团,601689.SH,20210715,32.7,33.51,32.38,32.8,32.82,-0.02,-0.0609,183745,604472.537
拓普集团,601689.SH,20210716,32.7,33.09,31.53,32.64,32.8,-0.16,-0.4878,151380.12,489991.365
拓普集团,601689.SH,20210719,32.2,33.96,32.01,33.27,32.64,0.63,1.9301,142091.13,469307.988
拓普集团,601689.SH,20210720,32.98,33.59,32.2,32.85,33.27,-0.42,-1.2624,125929.17,412825.881
拓普集团,601689.SH,20210721,33.02,33.79,32.56,33.61,32.85,0.76,2.3135,138304.13,461762.672
拓普集团,601689.SH,20210722,33.39,33.85,32.35,32.56,33.61,-1.05,-3.1241,136918.89,448854.942
拓普集团,601689.SH,20210723,32.5,32.86,31.4,31.7,32.56,-0.86,-2.6413,167561.3,535192.543
拓普集团,601689.SH,20210726,31.88,32.29,29.38,30.48,31.7,-1.22,-3.8486,199847.11,609518.419
拓普集团,601689.SH,20210727,30.62,32,30.33,30.46,30.48,-0.02,-0.0656,155060.45,484091.166
拓普集团,601689.SH,20210728,30.3,30.6,29.01,29.53,30.46,-0.93,-3.0532,123637.98,366468.055
拓普集团,601689.SH,20210729,30.05,31.55,30.05,31.35,29.53,1.82,6.1632,163416.45,508548.21
拓普集团,601689.SH,20210730,32.55,34.48,32.55,33.75,31.35,2.4,7.6555,321140.56,1085399.488
拓普集团,601689.SH,20210802,34.16,36.14,34.16,35.99,33.75,2.24,6.637,249021.64,884273.875
拓普集团,601689.SH,20210803,35.64,37.45,35.01,36.8,35.99,0.81,2.2506,254468.38,934963.413
