company_name,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
星宇股份,601799.SH,20210705,213.32,217.11,208,210.31,213.31,-3,-1.4064,17141.99,361173.738
星宇股份,601799.SH,20210706,213.46,216.59,208.49,211.5,210.31,1.19,0.5658,14438.64,306093.936
星宇股份,601799.SH,20210707,211.44,220.46,207,217.28,211.5,5.78,2.7329,19164.6,414921.267
星宇股份,601799.SH,20210708,217,222.77,214,215,217.28,-2.28,-1.0493,12428.9,270165.489
星宇股份,601799.SH,20210709,213.47,220.5,208.9,217.5,215,2.5,1.1628,19475.66,420479.421
星宇股份,601799.SH,20210712,221.64,231,218,229,217.5,11.5,5.2874,25803.74,583584.041
星宇股份,601799.SH,20210713,228.3,232,226,228,229,-1,-0.4367,16781.51,383685.487
星宇股份,601799.SH,20210714,228.44,229.86,221.57,223.52,228,-4.48,-1.9649,16250.23,366564.667
星宇股份,601799.SH,20210715,223.59,224.88,217.94,220,223.52,-3.52,-1.5748,14679.44,323862.651
星宇股份,601799.SH,20210716,219.3,220.28,213.01,215.2,220,-4.8,-2.1818,8891.93,191671.891
星宇股份,601799.SH,20210719,212.08,216.86,209,214,215.2,-1.2,-0.5576,14102.35,301011.559
星宇股份,601799.SH,20210720,213.6,216.25,208.3,214.91,214,0.91,0.4252,15012.65,319022.91
星宇股份,601799.SH,20210721,214.63,224,213.05,222.01,214.91,7.1,3.3037,11793.36,259575.072
星宇股份,601799.SH,20210722,221.83,226,220,225,222.01,2.99,1.3468,12068.61,270789.805
星宇股份,601799.SH,20210723,224.44,229.45,217,219.08,225,-5.92,-2.6311,20196.99,447158.968
星宇股份,601799.SH,20210726,219.52,221.8,205,213.65,219.08,-5.43,-2.4785,16755.51,355465.599
星宇股份,601799.SH,20210727,212.71,217.5,207,208.24,213.65,-5.41,-2.5322,18373.52,390796.298
星宇股份,601799.SH,20210728,206.16,210,201,206.55,208.24,-1.69,-0.8116,17247.28,353593.429
星宇股份,601799.SH,20210729,207.11,210.99,200,209.24,206.55,2.69,1.3023,26527.84,546545.276
星宇股份,601799.SH,20210730,206.7,208,199.29,206.09,209.24,-3.15,-1.5054,20610.25,420643.684
星宇股份,601799.SH,20210802,205.76,223.87,205.42,223,206.09,16.91,8.2052,31753.14,688085.689
星宇股份,601799.SH,20210803,223.26,224.83,215.3,218.74,223,-4.26,-1.9103,18159.1,398040.303
星宇股份,601799.SH,20210804,220.3,229.31,218.89,226.27,218.74,7.53,3.4424,16861.99,379071.94
星宇股份,601799.SH,20210805,226.15,226.27,218.52,222.19,226.27,-4.08,-1.8032,15822.33,351530.925
星宇股份,601799.SH,20210806,224.45,225.28,212.08,217.97,222.19,-4.22,-1.8993,16801.81,363861.341
星宇股份,601799.SH,20210809,217.76,221,213.31,218.17,217.97,0.2,0.0918,15674.82,340684.145
星宇股份,601799.SH,20210810,220,220,212.1,219,218.17,0.83,0.3804,12137.57,262858.13
星宇股份,601799.SH,20210811,218.9,219.5,210.26,213.17,219,-5.83,-2.6621,15719.32,336774.413
星宇股份,601799.SH,20210812,212.25,213.6,204.5,210.2,213.17,-2.97,-1.3933,19754.01,412292.366
星宇股份,601799.SH,20210813,212.2,212.2,197.5,199.17,210.2,-11.03,-5.2474,26024.84,526426.627
星宇股份,601799.SH,20210816,199,200.8,190.5,192.92,199.17,-6.25,-3.138,21761.72,422103.336
星宇股份,601799.SH,20210817,192.6,194,183.18,185.17,192.92,-7.75,-4.0172,26108.74,488162.678
星宇股份,601799.SH,20210818,184.98,184.98,175.39,180.91,185.17,-4.26,-2.3006,41714.53,751668.568
星宇股份,601799.SH,20210819,182.27,193.3,181.56,187.69,180.91,6.78,3.7477,25560.7,481953.305
星宇股份,601799.SH,20210820,189.71,189.71,183.16,186.85,187.69,-0.84,-0.4475,19015.18,355832.345
星宇股份,601799.SH,20210823,185.79,189.36,181.55,186.04,186.85,-0.81,-0.4335,15312.18,285467.833
星宇股份,601799.SH,20210824,187,190.17,185.14,186.93,186.04,0.89,0.4784,18075.43,339856.174
星宇股份,601799.SH,20210825,186.64,187.79,179.3,181.5,186.93,-5.43,-2.9048,32793.53,595538.01
星宇股份,601799.SH,20210826,181.8,189.91,181.8,185.59,181.5,4.09,2.2534,24168.85,452775.389
星宇股份,601799.SH,20210827,185,190.08,182,186.72,185.59,1.13,0.6089,17553.39,327617.401
星宇股份,601799.SH,20210830,196.7,200.5,188.18,192,186.72,5.28,2.8278,37479.16,731836.539
星宇股份,601799.SH,20210831,195.59,198.39,187.1,193.52,192,1.52,0.7917,25425.99,491858.603
星宇股份,601799.SH,20210901,194.38,197.75,190.6,192.7,193.52,-0.82,-0.4237,15877.07,308211.135
星宇股份,601799.SH,20210902,190.8,195,186.23,188.7,192.7,-4,-2.0758,8860.49,167959.568
