company_name,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
保隆科技,603197.SH,20210705,30.65,31.48,30.65,31.2,30.5,0.7,2.2951,18169.97,56493.808
保隆科技,603197.SH,20210706,31.2,31.9,30.7,31.22,31.2,0.02,0.0641,19895.49,62243.579
保隆科技,603197.SH,20210707,30.86,31.85,30.86,31.57,31.22,0.35,1.1211,21934.6,69028.66
保隆科技,603197.SH,20210708,31.67,31.69,30.31,30.56,31.57,-1.01,-3.1992,27506.6,84906.478
保隆科技,603197.SH,20210709,30.42,31.89,30.35,31.85,30.56,1.29,4.2212,30077.45,93609.811
保隆科技,603197.SH,20210712,32.2,33.8,32.2,33.72,31.85,1.87,5.8713,45418.88,150283.3
保隆科技,603197.SH,20210713,33.85,34.18,33.26,33.5,33.72,-0.22,-0.6524,33576.97,112809.537
保隆科技,603197.SH,20210714,33.84,34.89,33.77,34.2,33.5,0.7,2.0896,44002.48,151018.651
保隆科技,603197.SH,20210715,34.37,35.1,33.91,34.34,34.2,0.14,0.4094,41644.56,142892.253
保隆科技,603197.SH,20210716,34.68,35.42,34.43,34.93,34.34,0.59,1.7181,41421.05,145104.688
保隆科技,603197.SH,20210719,35.28,35.96,34.7,35.83,34.93,0.9,2.5766,34700.43,123840.614
保隆科技,603197.SH,20210720,35.81,36.2,35.21,35.95,35.83,0.12,0.3349,21604.34,77202.523
保隆科技,603197.SH,20210721,36.28,36.45,35.35,36.16,35.95,0.21,0.5841,30458.19,109487.443
保隆科技,603197.SH,20210722,36.06,36.99,35.88,36.44,36.16,0.28,0.7743,29685.33,107952.744
保隆科技,603197.SH,20210723,36.38,38.47,36.37,37.64,36.44,1.2,3.2931,35467.64,132911.772
保隆科技,603197.SH,20210726,38,38.9,37.01,37.97,37.64,0.33,0.8767,30164.75,114694.12
保隆科技,603197.SH,20210727,38.59,38.81,34.17,34.17,37.97,-3.8,-10.0079,92209.67,323782.863
保隆科技,603197.SH,20210728,32.8,33.8,31,32.08,34.17,-2.09,-6.1165,65295.3,208865.765
保隆科技,603197.SH,20210729,32.46,33.69,32.4,33.14,32.08,1.06,3.3042,33715.88,111461.733
保隆科技,603197.SH,20210730,32.58,35.16,32.55,35.05,33.14,1.91,5.7634,40099.15,137831.27
保隆科技,603197.SH,20210802,34.81,35.58,34.22,34.8,35.05,-0.25,-0.7133,24398.04,84806.472
保隆科技,603197.SH,20210803,34.89,35.15,33.78,33.88,34.8,-0.92,-2.6437,23656.6,81196.268
保隆科技,603197.SH,20210804,33.52,34.99,33.52,34.99,33.88,1.11,3.2763,21758.48,74999.772
保隆科技,603197.SH,20210805,34.99,35.13,34.05,34.43,34.99,-0.56,-1.6005,23604.68,81567.992
保隆科技,603197.SH,20210806,34.53,34.99,33.92,34.19,34.43,-0.24,-0.6971,16126.4,55472.39
保隆科技,603197.SH,20210809,33.98,34.07,33.17,33.81,34.19,-0.38,-1.1114,13991.89,47061.093
保隆科技,603197.SH,20210810,33.65,36.2,33.65,36,33.81,2.19,6.4774,34436.26,122071.185
保隆科技,603197.SH,20210811,36.05,36.15,35.15,35.82,36,-0.18,-0.5,17293.8,61886.154
