company_name,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
旭升集团,603305.SH,20210705,32.75,33.48,32.18,32.52,32.73,-0.21,-0.6416,27305.95,89242.852
旭升集团,603305.SH,20210706,32.6,33.88,32.51,33.56,32.52,1.04,3.198,24736.01,82408.412
旭升集团,603305.SH,20210707,33.55,33.55,32.02,32.48,33.56,-1.08,-3.2181,44889.58,146096.78
旭升集团,603305.SH,20210708,32.59,35.32,32.4,34.64,32.48,2.16,6.6502,62409.32,212775.489
旭升集团,603305.SH,20210709,34.52,35.09,33.76,34.9,34.64,0.26,0.7506,54154.71,186980.528
旭升集团,603305.SH,20210712,35.18,36.18,34.64,35.55,34.9,0.65,1.8625,54686.37,193701.393
旭升集团,603305.SH,20210713,36.18,36.19,34.6,34.78,35.55,-0.77,-2.166,37437.45,131004.535
旭升集团,603305.SH,20210714,34.7,35.49,34.32,34.38,34.78,-0.4,-1.1501,28336.6,98529.256
旭升集团,603305.SH,20210715,34.38,34.41,32.96,33.44,34.38,-0.94,-2.7341,35207.89,118144.755
旭升集团,603305.SH,20210716,33.42,34.51,32.91,33.59,33.44,0.15,0.4486,29036.61,98292.051
旭升集团,603305.SH,20210719,33.26,33.79,32.61,33.15,33.59,-0.44,-1.3099,22781.89,75561.331
旭升集团,603305.SH,20210720,33,33.99,32.75,33.73,33.15,0.58,1.7496,24473.55,81852.403
旭升集团,603305.SH,20210721,33.99,34.5,33.76,34.06,33.73,0.33,0.9784,25540.31,86929.904
旭升集团,603305.SH,20210722,34.3,34.35,33.22,34.25,34.06,0.19,0.5578,28392.58,96381.738
旭升集团,603305.SH,20210723,34.25,34.37,33.15,33.77,34.25,-0.48,-1.4015,28890.45,97244.373
旭升集团,603305.SH,20210726,33.52,34.2,32.38,33.25,33.77,-0.52,-1.5398,28843.49,96362.332
旭升集团,603305.SH,20210727,33.26,34.6,33.2,33.28,33.25,0.03,0.0902,31026.08,105221.143
旭升集团,603305.SH,20210728,33.02,33.42,31.46,32.13,33.28,-1.15,-3.4555,39315.7,126292.089
旭升集团,603305.SH,20210729,32.43,33.35,32.14,33.08,32.13,0.95,2.9567,24564.85,80524.469
旭升集团,603305.SH,20210730,35.28,36.39,34.81,36.39,33.08,3.31,10.006,103615.19,371178.597
旭升集团,603305.SH,20210802,38.59,40.03,38.2,40.03,36.39,3.64,10.0027,149104.95,592342.754
旭升集团,603305.SH,20210803,40.66,42.22,39.22,41.25,40.03,1.22,3.0477,205483.89,843522.383
