company_name,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
伯特利,603596.SH,20210705,34.58,35.47,33.12,34.14,34.8,-0.66,-1.8966,51315.88,173790.6
伯特利,603596.SH,20210706,34,35.63,33.82,34.54,34.14,0.4,1.1716,26732.81,92926.152
伯特利,603596.SH,20210707,34.06,35.77,33.98,35.06,34.54,0.52,1.5055,37749.44,131588.389
伯特利,603596.SH,20210708,35.06,36.68,34.06,34.63,35.06,-0.43,-1.2265,42288.91,148032.191
伯特利,603596.SH,20210709,34.27,36.92,33.6,36.7,34.63,2.07,5.9775,55781.84,200765.53
伯特利,603596.SH,20210712,36.7,39.5,36.53,38.68,36.7,1.98,5.3951,66499.77,255323.735
伯特利,603596.SH,20210713,38.8,39.8,37.9,38.44,38.68,-0.24,-0.6205,32316.75,124945.637
伯特利,603596.SH,20210714,38.48,38.48,37,37.3,38.44,-1.14,-2.9657,28449.53,107062.083
伯特利,603596.SH,20210715,37,37.93,36,36.88,37.3,-0.42,-1.126,25696.44,94476.753
伯特利,603596.SH,20210716,36.88,37.97,36.19,36.97,36.88,0.09,0.244,21752,80901.239
伯特利,603596.SH,20210719,36.88,38.27,36.49,37.68,36.97,0.71,1.9205,26420.2,99155.522
伯特利,603596.SH,20210720,37.58,38.55,36.96,38.04,37.68,0.36,0.9554,27076.09,103382.046
伯特利,603596.SH,20210721,38.12,38.63,37.55,38.16,38.04,0.12,0.3155,22992.95,87707.93
伯特利,603596.SH,20210722,36.18,37.35,35.63,36.55,38.16,-1.61,-4.2191,39144.84,143614.637
伯特利,603596.SH,20210723,36.29,37.26,34.75,35.55,36.55,-1,-2.736,33442.34,119607.999
伯特利,603596.SH,20210726,35.4,36,34.1,34.73,35.55,-0.82,-2.3066,27563.64,96187.61
伯特利,603596.SH,20210727,34.73,37.6,34.5,36.14,34.73,1.41,4.0599,36427.95,133078.168
伯特利,603596.SH,20210728,35.37,36.23,34.5,35.98,36.14,-0.16,-0.4427,22539.12,79818.3
伯特利,603596.SH,20210729,36.6,38.28,36.17,37.96,35.98,1.98,5.5031,30426.82,113795.101
伯特利,603596.SH,20210730,37.42,40.7,37.11,40.05,37.96,2.09,5.5058,59251.2,236154.517
伯特利,603596.SH,20210802,40.95,43.19,40.62,42.8,40.05,2.75,6.8664,46377.53,195627.406
伯特利,603596.SH,20210803,42.6,44.84,42.01,43.28,42.8,0.48,1.1215,52537.16,229282.362
伯特利,603596.SH,20210804,43.6,43.9,42.21,43.48,43.28,0.2,0.4621,46122.75,198268.33
伯特利,603596.SH,20210805,43.5,45.11,42.2,44.78,43.48,1.3,2.9899,47818.45,209103.415
伯特利,603596.SH,20210806,44.97,45.58,44.18,45.23,44.78,0.45,1.0049,31088.4,139277.514
伯特利,603596.SH,20210809,44.94,45,42.45,43.21,45.23,-2.02,-4.4661,46201.51,200009.634
伯特利,603596.SH,20210810,43.8,43.89,42,42.91,43.21,-0.3,-0.6943,35280.29,150999.849
伯特利,603596.SH,20210811,42.3,43.18,42.01,42.59,42.91,-0.32,-0.7457,19958.22,84932.314
伯特利,603596.SH,20210812,42.6,45.86,42.19,44.67,42.59,2.08,4.8838,32741.09,145346.763
伯特利,603596.SH,20210813,43.88,45.1,43,43.91,44.67,-0.76,-1.7014,20213.45,88519.738
伯特利,603596.SH,20210816,44.55,45.62,43,43.71,43.91,-0.2,-0.4555,29684.27,131594.936
伯特利,603596.SH,20210817,43.76,43.76,41.4,41.85,43.71,-1.86,-4.2553,31215.59,131574.479
伯特利,603596.SH,20210818,41.3,42.87,41.05,42.73,41.85,0.88,2.1027,22572.73,94954.187
伯特利,603596.SH,20210819,43.3,43.45,41.7,43.09,42.73,0.36,0.8425,11909.37,50941.345
伯特利,603596.SH,20210820,42.57,43.09,41.36,42.74,43.09,-0.35,-0.8123,16602.94,70081.342
伯特利,603596.SH,20210823,42.74,44.16,42.27,43.42,42.74,0.68,1.591,11986.82,51949.064
伯特利,603596.SH,20210824,43.5,44.5,42.87,43.36,43.42,-0.06,-0.1382,10752.2,46837.573
伯特利,603596.SH,20210825,43.8,43.8,40.4,41.25,43.36,-2.11,-4.8662,29901.75,123842.529
伯特利,603596.SH,20210826,41.1,41.98,39.5,39.98,41.25,-1.27,-3.0788,27157.07,109318.341
伯特利,603596.SH,20210827,39.97,40.8,38.98,40.38,39.98,0.4,1.0005,22797.75,90991.029
伯特利,603596.SH,20210830,40.93,44.42,40.14,43.6,40.38,3.22,7.9742,65377.37,285783.913
伯特利,603596.SH,20210831,43.97,47.96,43.8,46.71,43.6,3.11,7.133,104577.34,493494.273
伯特利,603596.SH,20210901,46.69,47,44.52,46.15,46.71,-0.56,-1.1989,66320.05,304542.644
伯特利,603596.SH,20210902,46,48,45.77,47.07,46.15,0.92,1.9935,38371.88,180300.971
伯特利,603596.SH,20210903,47.19,47.33,42.61,45.01,47.07,-2.06,-4.3765,47447.07,212455.08
伯特利,603596.SH,20210906,45.02,49.51,43.82,48.77,45.01,3.76,8.3537,58827.11,280180.816
伯特利,603596.SH,20210907,49,51.71,47.52,49.8,48.77,1.03,2.112,73759.8,370474.61
伯特利,603596.SH,20210908,49.85,52.1,48.3,51.02,49.8,1.22,2.4498,51832.63,259976.719
伯特利,603596.SH,20210909,50.08,50.76,47.81,48.49,51.02,-2.53,-4.9588,30599,148972.405
伯特利,603596.SH,20210910,48.49,50.67,48,50.32,48.49,1.83,3.774,26464.24,131079.412
伯特利,603596.SH,20210913,50.34,50.92,48.2,49.25,50.32,-1.07,-2.1264,29170.16,144201.717
伯特利,603596.SH,20210914,49.35,52.57,48.68,51.78,49.25,2.53,5.1371,31894.45,163234.648
伯特利,603596.SH,20210915,51,53.16,49.3,51.66,51.78,-0.12,-0.2317,34243.9,176253.81
伯特利,603596.SH,20210916,51.64,51.66,48.4,48.58,51.66,-3.08,-5.9621,19956.67,99081.626
伯特利,603596.SH,20210917,49,49.66,47.38,49.18,48.58,0.6,1.2351,13499,65475.54
伯特利,603596.SH,20210922,48.63,50.64,48,49.13,49.18,-0.05,-0.1017,15147.16,74845.22
伯特利,603596.SH,20210923,49.01,49.66,45.38,46.46,49.13,-2.67,-5.4346,40640.03,192280.793
伯特利,603596.SH,20210924,45.75,46.87,44.53,45.38,46.46,-1.08,-2.3246,27318.66,124509.657
伯特利,603596.SH,20210927,46.09,46.84,44.21,45.21,45.38,-0.17,-0.3746,21543.65,97845.612
伯特利,603596.SH,20210928,45.21,45.69,44.2,44.91,45.21,-0.3,-0.6636,18705.2,83811.554
伯特利,603596.SH,20210929,44.9,45.19,43.37,44.28,44.91,-0.63,-1.4028,23248.19,102882.187
伯特利,603596.SH,20210930,45.23,45.23,43.45,44.75,44.28,0.47,1.0614,17808.59,78352.88
伯特利,603596.SH,20211008,43.68,47.85,43.62,47.1,44.75,2.35,5.2514,29218.81,136967.03
伯特利,603596.SH,20211011,46.5,49.4,46.43,49.02,47.1,1.92,4.0764,31382.41,150915.783
伯特利,603596.SH,20211012,48.62,49.02,46.95,47.15,49.02,-1.87,-3.8148,16752.45,79666.065
伯特利,603596.SH,20211013,47.15,51.6,46.57,51.23,47.15,4.08,8.6532,29515.73,147838.502
伯特利,603596.SH,20211014,51.35,53,50.7,51.17,51.23,-0.06,-0.1171,22733.97,117409.944
伯特利,603596.SH,20211015,51.11,54.81,50.58,53.8,51.17,2.63,5.1397,35653.19,188901.249
伯特利,603596.SH,20211018,53.8,55.87,52.54,55.09,53.8,1.29,2.3978,30509.89,167038.312
伯特利,603596.SH,20211019,54.28,56.6,53.25,55.85,55.09,0.76,1.3796,26956.41,148963.122
伯特利,603596.SH,20211020,55.58,57.39,53.84,54.75,55.85,-1.1,-1.9696,41288.58,227269.944
伯特利,603596.SH,20211021,54.9,56.49,53.12,53.75,54.75,-1,-1.8265,22503.91,121396.516
伯特利,603596.SH,20211022,54.54,54.65,52.8,53.75,53.75,0,0,19503.23,104786.59
伯特利,603596.SH,20211025,54,56.77,52.9,55.61,53.75,1.86,3.4605,23469.71,129333.535
伯特利,603596.SH,20211026,55.6,58,53.81,57.36,55.61,1.75,3.1469,39166.31,222159.665
伯特利,603596.SH,20211027,57.07,58.85,55.8,58.72,57.36,1.36,2.371,32726.94,189791.841
伯特利,603596.SH,20211028,55.8,58.33,54,55.39,58.72,-3.33,-5.671,47101.69,264152.829
伯特利,603596.SH,20211029,55.53,60.5,54.9,60.45,55.39,5.06,9.1352,35616.49,206410.79
伯特利,603596.SH,20211101,60.4,60.68,57.5,58.1,60.45,-2.35,-3.8875,31320.26,183443.449
伯特利,603596.SH,20211102,58.49,61.36,57.49,60.48,58.1,2.38,4.0964,33439.46,199831.017
伯特利,603596.SH,20211103,60.22,61,56.22,59.29,60.48,-1.19,-1.9676,32426.49,187928.078
伯特利,603596.SH,20211104,57.68,60.32,57.68,59.3,59.29,0.01,0.0169,21650.01,127970.57
伯特利,603596.SH,20211105,59.08,62.09,58.15,61.7,59.3,2.4,4.0472,21317.11,129262.358
伯特利,603596.SH,20211108,61.3,62.6,59.29,62.5,61.7,0.8,1.2966,26084.94,159351.943
伯特利,603596.SH,20211109,61.6,62.39,57.76,60.38,62.5,-2.12,-3.392,35642.62,213048.558
伯特利,603596.SH,20211110,59.62,59.63,55.7,57.87,60.38,-2.51,-4.157,29093.25,167413.857
伯特利,603596.SH,20211111,57.87,60.68,57.3,59.98,57.87,2.11,3.6461,36071.61,212385.39
伯特利,603596.SH,20211112,59.55,61.5,58.01,60.34,59.98,0.36,0.6002,27761.76,165966.725
伯特利,603596.SH,20211115,62.5,66.37,60.71,61.99,60.34,1.65,2.7345,77481.97,495798.356
伯特利,603596.SH,20211116,60.84,68.19,59.5,66.2,61.99,4.21,6.7914,82049.96,537547.604
伯特利,603596.SH,20211117,67.09,67.09,63.34,63.69,66.2,-2.51,-3.7915,40923.52,262535.438
伯特利,603596.SH,20211118,64.19,65.65,60.2,65.06,63.69,1.37,2.151,52422.01,330785.498
伯特利,603596.SH,20211119,64.51,64.61,63,64.08,65.06,-0.98,-1.5063,20427.95,130398.265
伯特利,603596.SH,20211122,64.5,70.49,63.88,70.49,64.08,6.41,10.0031,78247.88,542429.977
伯特利,603596.SH,20211123,71.08,73.98,70.1,71.63,70.49,1.14,1.6173,82757.07,597351.028
伯特利,603596.SH,20211124,70.93,71.5,68.17,69.9,71.63,-1.73,-2.4152,39486.97,275427.231
伯特利,603596.SH,20211125,68.63,69.1,65.12,65.35,69.9,-4.55,-6.5093,56789.22,379021.852
伯特利,603596.SH,20211126,65.37,70.32,64.03,69.12,65.35,3.77,5.7689,40498.66,273193.14
伯特利,603596.SH,20211129,67.8,72.18,67.8,71.3,69.12,2.18,3.1539,48637.98,341335.028
伯特利,603596.SH,20211130,71.19,74,69.99,73.5,71.3,2.2,3.0856,53357.7,387512.45
伯特利,603596.SH,20211201,73.5,73.5,68,69.05,73.5,-4.45,-6.0544,40284.05,281477.065
伯特利,603596.SH,20211202,68.77,71.48,68.07,69,69.05,-0.05,-0.0724,31929.75,223085.819
伯特利,603596.SH,20211203,69.66,70.78,67.7,68.23,69,-0.77,-1.1159,21481.37,146989.245
伯特利,603596.SH,20211206,68.01,70.58,66.1,68.22,68.23,-0.01,-0.0147,34743.5,239594.445
伯特利,603596.SH,20211207,68.72,69.19,62.6,65.17,68.22,-3.05,-4.4708,53086.57,345041.746
伯特利,603596.SH,20211208,65.17,69.12,65.17,68.85,65.17,3.68,5.6468,57551.49,392313.369
伯特利,603596.SH,20211209,68.89,71.25,66.45,70.09,68.85,1.24,1.801,43550.2,302660.567
伯特利,603596.SH,20211210,69.92,70.61,68.17,70.1,70.09,0.01,0.0143,23622.36,164787.281
伯特利,603596.SH,20211213,70.42,70.56,65.55,67.64,70.1,-2.46,-3.5093,39463.05,264638.31
伯特利,603596.SH,20211214,67.5,67.8,63.61,67.45,67.64,-0.19,-0.2809,46045.2,302041.552
伯特利,603596.SH,20211215,68.04,68.4,65.9,67.2,67.45,-0.25,-0.3706,23536.1,157687.668
伯特利,603596.SH,20211216,67.11,69.25,66.13,68.23,67.2,1.03,1.5327,29143.39,196218.484
伯特利,603596.SH,20211217,67.66,69.1,63.4,63.9,68.23,-4.33,-6.3462,46812.23,304521.863
伯特利,603596.SH,20211220,63.13,66.57,62.21,64.8,63.9,0.9,1.4085,35163.65,229066.962
伯特利,603596.SH,20211221,65.78,70,63.86,69.69,64.8,4.89,7.5463,50497.01,343683.93
伯特利,603596.SH,20211222,70.57,71.8,67.31,71.26,69.69,1.57,2.2528,43652,302997.045
伯特利,603596.SH,20211223,71.53,75.94,70.3,75.61,71.26,4.35,6.1044,64091,472263.943
伯特利,603596.SH,20211224,75.8,77.79,72.34,72.51,75.61,-3.1,-4.1,34152.72,254861.957
伯特利,603596.SH,20211227,73.28,75,71.3,73.55,72.51,1.04,1.4343,24037,175036.01
伯特利,603596.SH,20211228,73,73.51,70.5,71.66,73.55,-1.89,-2.5697,20146.46,144643.247
伯特利,603596.SH,20211229,72.11,72.56,67.58,68.26,71.66,-3.4,-4.7446,43898.67,303392.65
伯特利,603596.SH,20211230,68.26,69.36,66.91,67.4,68.26,-0.86,-1.2599,38025.21,258086.447
伯特利,603596.SH,20211231,67.39,70.18,67.09,69.6,67.4,2.2,3.2641,32647.57,225969.347
伯特利,603596.SH,20220104,70.8,70.96,65,65.15,69.6,-4.45,-6.3937,43015.69,286047.828
伯特利,603596.SH,20220105,64.86,65.84,61.13,62.68,65.15,-2.47,-3.7913,50647.5,316520.139
